format,name,link,archetype,wr,date
standard_bo1,Gurtu,https://mtga.untapped.gg/profile/570b997f-4bce-4ecd-a565-733a977fba57/BLKM4MSBNFBJTBOJWD7UK43YL4/deck/dc39d1d5-bb77-4cc9-94d8-007704c2fbfd?timeFrame=current_season,Boros Convoke,62.1%,May 31
standard_bo1,Neves,https://mtga.untapped.gg/profile/c88a6926-7a34-4f2e-b7c4-8756962fbc1e/FQ7QP7YQ7NGY7I55VMXRXSBLRU/deck/cd145690-42b4-49fe-b438-ed6700b6af25?timeFrame=current_season,4-Color Domain,52.6%,May 31
standard_bo1,RIP LOL,https://mtga.untapped.gg/profile/fa31a1bd-e414-4d35-a8ff-31a30fcd1289/6AA118488339D88D/deck/4f7786d4-23b1-471e-862d-eb9e7eac4e57?timeFrame=current_season,Rakdos Aggro,86.2%,May 31
standard_bo1,Gabriele Telloli,https://mtga.untapped.gg/profile/b1de0566-e305-4353-b34b-99fd9897e49d/EBB60684570D8E31/deck/9c91d4aa-2b6d-42ac-bf3d-3e35d0d4c0f6?timeFrame=current_season,Azorius Control,55.0%,May 31
standard_bo1,Benn,https://mtga.untapped.gg/profile/270230ef-7724-4294-aace-086853afc3dc/2G5RYFEVJVA6FPJNL7KY2TNBGE/deck/efec407f-52d4-44d1-85d0-2ffe2118b130?timeFrame=current_season,Mono-Red Aggro,51.4%,May 31
standard_bo1,Pobre Planinauta,https://mtga.untapped.gg/profile/61091c43-16f8-47f6-841c-5ba7f6a4833b/LQLQFG7GCND73CQGXWY5FPXH6A/deck/3bdd2a28-8b70-446e-a845-70586cfe2db8?timeFrame=current_season,Izzet Pirates,66.7%,May 31
standard_bo1,Nitrus,https://mtga.untapped.gg/profile/90d6d231-a9ed-4cf2-8126-d1f02cc46d5f/KJC7DTSKZRHXVJDGF3FHLGPQ4Y/deck/4a644fe8-f327-4fe2-8f82-096ea57142d2?timeFrame=current_season,Jeskai Control,67.2%,May 31
standard_bo1,AR.MuMu,https://mtga.untapped.gg/profile/91eb8211-4569-4a4c-8590-7e8dd1f16db0/2AF66031B8D3C97F/deck/2c2aaa56-2328-4982-b897-4fe0d6f9ebd7?timeFrame=current_season,Azorius Control,87.5%,May 31
standard_bo3,dmitropher,https://mtga.untapped.gg/profile/2b3c5bdf-df8e-48e9-bfda-e1abe1e54758/675SEAE5SFACJJ4N254ODCTQKU/deck/7d6bcb3c-da68-479a-8b50-5c92baa19c2c?timeFrame=current_season,Simic Other,58.6%,May 31
standard_bo3,Lukeknopki,https://mtga.untapped.gg/profile/6da0a20a-2572-4010-9509-e4b91cc1568c/WSB5Q6QOSVGCDNDCP5564I5HEA/deck/e12b00fa-8d37-4288-92f4-df70eb568df0?timeFrame=current_season,5-Color Domain,80.0%,May 31
standard_bo3,Ashphilo,https://mtga.untapped.gg/profile/5a029296-94f3-49c4-a0f7-07fddac481f5/DWVPSO6AOJCNZCRIPHNUVSHH3E/deck/ee13f55d-9bd8-4e49-babf-ebf0261eb16f?timeFrame=current_season,Mono-Black Midrange,77.8%,May 31
standard_bo3,rodimius ,https://mtga.untapped.gg/profile/86ffaff0-a663-4a8b-a7a9-cbedfb2e6495/PGQ3LKBZEZBQLPR7RVZXRNHU4A/deck/a7b712ec-365a-4ca1-94b1-4db339ddfe11?timeFrame=current_season,Azorius Control,84.6%,May 31
standard_bo3,Kriostain,https://mtga.untapped.gg/profile/68bb752b-6364-440e-a818-e9e8512fff71/RW3UOBLVVVFGTGOZBZWSW4TU7U/deck/58b6a359-2049-4dff-b83d-902e6c31c9c8?timeFrame=current_season,Golgari Midrange,66.7%,May 31
standard_bo3,wax,https://mtga.untapped.gg/profile/c20719a2-78c4-4ad1-8dfa-79fc500d2a3c/2QDX3MVEQNFONBM7RWFYHNMDJE/deck/a17390b8-77f2-47fd-a6a5-a8e312e4ced0?timeFrame=current_season,Mono-Red Aggro,61.1%,May 31
standard_bo3,TheXiled,https://mtga.untapped.gg/profile/0d363593-d265-4a1c-bba2-a79b635f6eef/WC44A7WNJVDNJEL64JBWY327A4/deck/91825ae1-5615-405f-b8c3-cb9354de835c?timeFrame=current_season,5-Color Other,66.7%,May 31
standard_bo3,Marvayl,https://mtga.untapped.gg/profile/2000ef48-6bd0-4128-9121-f8b366994256/RHVGQEX4HVFAVIDAD33DQMIWT4/deck/b458247d-d52a-4fdd-b9e6-839a28504452?timeFrame=current_season,Dimir Other,,May 31
standard_bo3,Gabanaci,https://mtga.untapped.gg/profile/860f505e-ccda-4746-941f-485b8e63735e/XL5SBALDENCF7DFZTP4XQ5MKYM/deck/d191dc73-e075-488c-a2ba-956ef83083d4?timeFrame=current_season,Temur Control,66.7%,May 31
standard_bo3,Kugai,https://mtga.untapped.gg/profile/bcb20900-48fd-4ac7-9fc7-ae0862322c55/AVTYCYBRTJBWZGOYHTGBTOIE3Y/deck/fc424a6e-5e9d-4dd4-a94a-99db1e297a07?timeFrame=current_season,Izzet Pirates,79.4%,May 31
standard_bo3,TTVH0LLYW00D,https://mtga.untapped.gg/profile/422647d6-7c76-43be-b30b-fa3f00ba513f/X2UN7YGMRZHMTAVV56UAYNNEZU/deck/63a309fb-ab7a-4a94-8e9f-39ee976e8a43?timeFrame=current_season,Boros Other,52.3%,May 31
standard_bo3,Striker625,https://mtga.untapped.gg/profile/f2b20fd2-0fed-4435-915f-b0eae14b6943/A77B3F588BBDFEDB/deck/578c13ee-c192-43ee-ad67-37440b884ac5?timeFrame=current_season,Esper Midrange,52.3%,May 31
standard_bo3,Draegenbaeg,https://mtga.untapped.gg/profile/ba8b05d9-8a7b-4ab8-bec9-cf4f5a350cc8/QXDDCPKPDFC57FZCF42PTIK7LY/deck/06d2cf58-15f4-44fb-ade4-2633a59bc7a3?timeFrame=current_season,Simic Affinity,61.2%,May 31
standard_bo3,Ramiel,https://mtga.untapped.gg/profile/c5b71568-5785-428c-a1fb-6c3d4fc55bad/TPTHWHOR2ZAFLI36HCMJU7TYWY/deck/6a5858ed-fe1b-4a72-9bb1-18379be07a88?timeFrame=current_season,4-Color Other,58.3%,May 31
standard_bo3,Papelillo,https://mtga.untapped.gg/profile/536698a8-d853-4be5-aed1-0de6ebcbc213/Y34MULF2IZFWFMHZQTBJXUNDQM/deck/facdf828-46c7-448e-86b5-2b14c441e239?timeFrame=current_season,5-Color Domain,83.3%,May 31
standard_bo3,Medalla,https://mtga.untapped.gg/profile/0d1612a1-48c3-4680-acc1-d0a2971f65f3/10F742A5B22F304/deck/32b8b9f4-a388-49c4-88e8-e034a8a9b4a3?timeFrame=current_season,Esper Midrange,76.5%,May 31
standard_bo3,Chiri,https://mtga.untapped.gg/profile/87a58bf3-a1a5-4f06-bea8-a7db88de7ead/PL2QEJB67ZGZ5MXGWQKA4HKF24/deck/f94af427-95c1-4e9c-b424-768fb6085c89?timeFrame=current_season,Esper Midrange,100%,May 31
explorer_bo1,Natian,https://mtga.untapped.gg/profile/ad056d64-ed05-42a7-96ee-b600d94a656e/HPQDJX7ZKVHHVKGNHXJU2VJLYM/deck/7843bdf7-9c9f-4d18-af73-4f429781cb1b?timeFrame=current_season,Abzan Amalia,59.6%,May 31
explorer_bo1,koitaro,https://mtga.untapped.gg/profile/d841bbd9-9584-4c67-9af3-a2614dd0f94d/KEX62HK6INHKBB4ULZ5YWHF7ZM/deck/11dc3e3a-46e2-406f-b2a5-206cd1a23adc?timeFrame=current_season,Abzan Other,87.5%,May 31
explorer_bo1,Kukkiwanblack,https://mtga.untapped.gg/profile/8769cbf7-92e0-4d94-8fdf-a72bcf8b6109/7CFD63NV4NGYDJ7K3D6PR3VPDY/deck/0f3c6daf-7d3d-4774-8c90-f0f22228d6b8?timeFrame=current_season,5-Color Quintorius,75.8%,May 31
explorer_bo3,Aireon,https://mtga.untapped.gg/profile/dfb530c7-599b-46ee-b48d-4ffa8e050493/547CF67122A00FB6/deck/b13a5b3f-c8a4-461c-b385-33b182ae5269?timeFrame=current_season,Azorius Spirits,,May 31
explorer_bo3,Camilo Londoño,https://mtga.untapped.gg/profile/5e52c9e8-40a9-4acb-ac89-c5866a5d4034/C6V7MK7HNREK5OS7YTHX6ZGOQI/deck/55d44e60-7824-46d2-a8dc-e5551732f7d6?timeFrame=current_season,Azorius Control,60.0%,May 31
explorer_bo3,kiyored,https://mtga.untapped.gg/profile/29e1b6f3-9ac2-4189-a631-5ec769c8e86c/CW5G3DHXENEUJLHKGQLKVAJKEU/deck/5707539a-4ee2-41f4-afa5-b1e5f2a78573?timeFrame=current_season,Gruul Burn,,May 31
explorer_bo3,gary colemann,https://mtga.untapped.gg/profile/e7e6d696-15a9-4752-b4eb-cb15234f3f77/LGX3X3ZDIZGTZLCSSP6ZKCH4HI/deck/0bc17b66-2ab0-4680-9b5b-13464ea9a95e?timeFrame=current_season,Mono-Black Discard,100%,May 31
explorer_bo3,AndyWand,https://mtga.untapped.gg/profile/c45cc70e-4db8-4527-9386-1e075431cbc2/ZV4S6YAL7ZENBHJTPFRUDTOXGI/deck/5a5e34f8-76bb-4781-b355-920041cbd172?timeFrame=current_season,Mono-Black Discard,60.0%,May 31
explorer_bo3,oolong-chan,https://mtga.untapped.gg/profile/d0e96411-b529-48c5-bfea-c66262976604/FVRNBU33DFAQPADF3XHYCJB3N4/deck/d2691072-d18a-4cde-904a-1fc72a6c547b?timeFrame=current_season,Rakdos Other,68.8%,May 31
explorer_bo3,kriss_army,https://mtga.untapped.gg/profile/dcaa1990-0f5a-4e74-a3ea-90da98e8a881/E634618D12643ACB/deck/9e916545-f2f8-49a9-b52a-efedc859094a?timeFrame=current_season,Rakdos Vampires,63.0%,May 31
explorer_bo3,shmee,https://mtga.untapped.gg/profile/0f4f0c9e-bafc-4ff5-a6af-d6e0ca5ed001/LUIAJ4RZPFDL3G7LNVBOOCN5ZQ/deck/9a322bf3-3e6e-46fe-870d-e62c05ecbf19?timeFrame=current_season,Rakdos Vampires,72.7%,May 31
explorer_bo3,BobClampet,https://mtga.untapped.gg/profile/48ad5500-7514-40bd-a81f-613641f83aef/KAJJ5YWLKJDXLJN5WVBOW3WBDI/deck/e4b940c4-266f-4fbe-afc3-586a33fbe5a1?timeFrame=current_season,Izzet Ensoul,77.8%,May 31
explorer_bo3,tara,https://mtga.untapped.gg/profile/1d2cf33e-c7c1-4638-a545-2c263cea76c5/XPA4EPYJ7NFB5KYFX27D2MEFKY/deck/2f6ee2a7-355a-4bdc-98db-8f153d1e5ff1?timeFrame=current_season,Mono-White Humans,63.6%,May 31
explorer_bo3,hasbun,https://mtga.untapped.gg/profile/b428dc63-eb49-43f3-8855-fc32a1180aff/FTDWJRFZCBB7FL3FN3V4ZIZXJY/deck/c0891086-ea33-4820-87a1-3f306c209f64?timeFrame=current_season,Izzet Phoenix,73.9%,May 31
explorer_bo3,WillPlays,https://mtga.untapped.gg/profile/d6d8003c-4d53-4f94-b8df-878533c24ca0/A6599E3E3FE3CBD1/deck/fa657157-e08f-4c79-b273-48d58a23043b?timeFrame=current_season,Mono-Red Wizards,56.9%,May 31
explorer_bo3,Klipiatt,https://mtga.untapped.gg/profile/38e7e935-9236-4058-ad5b-ebe19f671559/6A6DTG5WL5GFPI3LEQ43MLZXQ4/deck/d2c3cb62-400a-4747-82c9-7b16c0798f74?timeFrame=current_season,Rakdos Vampires,62.5%,May 31
explorer_bo3,Bez,https://mtga.untapped.gg/profile/a62a3b92-f266-43cb-a86a-dc3070e75f4d/7A1BF1F606AB7507/deck/e62be2eb-7c37-4d62-b2f7-9985a21644ca?timeFrame=current_season,4-Color Other,54.7%,May 31
explorer_bo3,Ben@DraftChaff,https://mtga.untapped.gg/profile/7fad272a-5fdb-4c1d-86ef-3c589982312b/2898F3114B37F753/deck/8a1ca398-c0f5-42ab-aba2-ae059e7ddcd7?timeFrame=current_season,Mono-White Humans,55.1%,May 31
alchemy_bo1,KyleC,https://mtga.untapped.gg/profile/ddcd5826-229f-4aa2-a65c-7e734a1c0f85/FXHVBX63T5E7PFXN6LO7NMCJUY/deck/0bc99b82-17a7-4a78-88d2-929df3775697?timeFrame=current_season,Jeskai Other,57.7%,May 31
alchemy_bo1,Pieropiro,https://mtga.untapped.gg/profile/c956bd85-e054-4497-b4e3-d330b52ed740/ZPZX4D3YBZBFHFPXO7FZJX27ZU/deck/8eb16868-4a0b-4d16-836f-3805923c69b0?timeFrame=current_season,Boros Convoke,65.1%,May 31
alchemy_bo1,Angelost,https://mtga.untapped.gg/profile/809b0b7f-c5f6-4531-9427-bbb5962ee036/X66W4GDUKNFRBMBKYMVXSHURZI/deck/5d63cd62-0891-4853-ae8a-76002339db2a?timeFrame=current_season,4-Color Other,57.7%,May 31
alchemy_bo1,Psyloboy,https://mtga.untapped.gg/profile/a1309fac-cc97-49de-bb2b-8d3d3073929e/NFT5LVKMCNGBHB4Z322O5HOUSU/deck/5f11dcc4-52f9-41c5-bd40-0630c8f06cf5?timeFrame=current_season,Grixis Midrange,59.4%,May 31
alchemy_bo1,gpiccolo81,https://mtga.untapped.gg/profile/fa3bb36c-41dd-4329-98b4-ef5e0bfa6a71/5AVIZOPSDVECHNA4KHGU5PX2XI/deck/cc828410-da98-4214-960d-f44f9ff95163?timeFrame=current_season,Orzhov Other,60.6%,May 31
historic_bo1,Novalbrier,https://mtga.untapped.gg/profile/c489e70e-07b9-4fba-913c-561a7c591d1f/LSF2TEZSLRCRRGDMELXQLXAKIU/deck/cc486008-a3c2-421d-93db-66c4221b1825?timeFrame=current_season,Esper Affinity,77.8%,May 31
historic_bo1,Grixisleader,https://mtga.untapped.gg/profile/278be5a8-0996-4912-8a61-6785d652bb65/WUCB2AFIKJCJLCNKZPZZXA26AA/deck/59eac650-f05d-46ea-b9dc-4cd282801bbc?timeFrame=current_season,Mono-Red Goblins,69.8%,May 31
historic_bo1,LALILALAA,https://mtga.untapped.gg/profile/083e5bb9-2d4e-4528-a82a-6e975ca9866c/PLTL7NZG6VHI3IQBVE4JV3YIVQ/deck/67647f7e-7c31-4afa-b84f-a736c13e5e6c?timeFrame=current_season,Boros Convoke,64.8%,May 31
historic_bo1,nbc30,https://mtga.untapped.gg/profile/6b7cdc27-6c06-43a3-b72a-3c39a86526f1/2NNYOBMYJJHO3I3ZUIXIJSOAGA/deck/4c9bcb54-2aab-4da5-b0a7-11dd34b3d5aa?timeFrame=current_season,Izzet Wizards,65.1%,May 31
historic_bo1,SengirVampire,https://mtga.untapped.gg/profile/439f0668-836d-43a9-bcff-232e790fc647/ZC6L5QTKBVGUPB375D7PK5437M/deck/2e433842-0b3c-45b1-b476-9b8aef32247f?timeFrame=current_season,Azorius Artifacts,70.2%,May 31
historic_bo1,Flyte,https://mtga.untapped.gg/profile/89af05c4-7921-4768-870d-b001b31e4783/TU7PM2NQNJC6ZKHLG5KHRANTBU/deck/21dc838f-523f-452f-82f6-a6ad665fb8ef?timeFrame=current_season,Selesnya Squirrel Twin,47.5%,May 31
timeless_bo1,Lince,https://mtga.untapped.gg/profile/c4c0f92c-5fe0-46e8-abcd-33ee4fb413fe/5KAWSSOITVDJJOOF6ZE7HPFSGQ/deck/fd741aad-e055-4c05-94a9-fec12781efeb?timeFrame=current_season,Rakdos Burn,60.8%,May 31
timeless_bo1,Goremasher,https://mtga.untapped.gg/profile/ee607d31-3954-439a-b5e9-e5faee52fdcf/6WZ3NSQDTJBO3KKZYVKQT4Q7E4/deck/f08dff32-2136-4f1b-9df8-a2041b2b0f99?timeFrame=current_season,4-Color Vampires,88.9%,May 31
timeless_bo3,Omethi,https://mtga.untapped.gg/profile/516e3b46-f148-49d4-bc03-f9b2ee323951/DC06C8B5FBC85BF1/deck/42e07cad-9e80-4758-8ef0-6cca6c116bb4?timeFrame=current_season,Jund Shadow,61.9%,May 31
timeless_bo3,Joca,https://mtga.untapped.gg/profile/f2e709a8-0846-4446-b600-311b546b35e2/EXWZFU3MCBEL7MG7M23RKFPMCE/deck/2e3ed7a8-7f2c-473b-85f1-d0dec433a5fa?timeFrame=current_season,Grixis Shadow,,May 31
timeless_bo3,Evangeleon,https://mtga.untapped.gg/profile/c00866d5-9ac2-4fea-b2f3-f79547fc05e8/F3SW777WINARFHQ2AUA4MGL2RA/deck/64a2e84c-e240-4e33-8f22-9353283e3767?timeFrame=current_season,Jund Midrange,,May 31
